City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
472,Neryungri,RU,72.75,56.67,124.65,light rain,Pyat' Zvozd
474,Tezu,IN,74.46,27.92,96.17,heavy intensity rain,Circuit House
477,Hobyo,SO,83.23,5.35,48.53,overcast clouds,Osmani Hotel
478,Vila Velha,BR,75.0,-20.33,-40.29,scattered clouds,Hotel Vitória Palace
479,Sa Kaeo,TH,86.38,13.81,102.07,light rain,Thanasiri Hotel & Resort
480,Mattru,SL,74.68,7.62,-11.83,moderate rain,Boima Gbondo's Compound
482,Bokoro,TD,86.72,12.38,17.06,overcast clouds,
484,Naples,IT,87.01,40.83,14.25,clear sky,Renaissance Naples Hotel Mediterraneo
485,Kunming,CN,72.0,25.04,102.72,overcast clouds,昆明佳华广场酒店
488,Krasnoselkup,RU,74.8,65.7,82.47,scattered clouds,Krasnosel'kupnefteprodukt
489,Marfino,RU,71.01,55.7,37.38,clear sky,Kardiologicheskiy Sanatornyy Tsentr Peredelkino
490,Pundaguitan,PH,83.44,6.37,126.17,moderate rain,Leonardo Family Beach House 1
491,Bayshore Gardens,US,84.2,27.43,-82.59,few clouds,Ramada by Wyndham Sarasota
492,The Valley,AI,82.4,18.22,-63.06,scattered clouds,CeBlue Villas & Beach Resort
493,Altus,US,78.8,34.64,-99.33,clear sky,Holiday Inn Express & Suites Altus
494,Serpa,PT,80.6,37.95,-7.6,clear sky,Casa do Caniço
495,Vanavara,RU,70.97,60.34,102.28,broken clouds,Church of Churches
496,Roma,US,73.0,43.21,-75.46,clear sky,Wingate By Wyndham Rome
497,Mchinji,MW,79.7,-13.8,32.88,few clouds,Compass Lodge
498,Praya,CV,80.6,14.92,-23.51,few clouds,LT Aparthotel
499,Halifax,CA,73.99,44.65,-63.57,few clouds,Hotel Halifax
501,Sorong,ID,80.44,-0.88,131.25,light rain,The Waigo Hotel
503,Luganville,VU,77.36,-15.53,167.17,light rain,The Espiritu Hotel
507,Camacha,PT,71.6,33.08,-16.33,scattered clouds,Hotel Porto Santo & Spa
512,Gotsu,JP,77.0,35.0,132.22,light intensity shower rain,Super Hotel Gotsu Ekimae
516,Cumra,TR,83.17,37.57,32.77,clear sky,Catalhoyuk Hotel
